Order,Player name,Recipient,event_id,min,sec,outcome,period_id,team_id,Angle,Degrees,Y travel,X travel,Distance,Goalmouth Y,Goalmouth Z,X-end,x,Y-end,y
228,"Davies, Kevin",Incomplete pass,105,11,37,Incomplete,1st,30,0.6,34.37746771,11.4,11.4,14.3,,,87.9,76.5,42.1,30.7
230,"Kompany, Vincent",N,129,11,39,Complete,1st,43,2.7,154.6986047,6.4,-8.8,10.2,,,3.5,12.3,59.7,53.3
232,"Hart, Joe",Incomplete pass,131,11,42,Incomplete,1st,43,6,343.7746771,-24.6,48.2,53.3,,,63.2,15,32.9,57.5
234,"Robinson, Paul",Incomplete pass,106,11,46,Incomplete,1st,30,1.1,63.02535746,18.2,5.9,13.8,,,43.8,37.9,85,66.8
236,"Petrov, Martin","Robinson, Paul",108,11,53,Complete,1st,30,3.4,194.8056503,-5.9,-17.8,19.3,,,38.2,56,94.1,100
238,"Robinson, Paul",Incomplete pass,109,11,56,Incomplete,1st,30,5.1,292.2084755,-22.5,5.5,16.4,,,41.1,35.6,71.6,94.1
240,"Silva, David","Aguero, Sergio",136,11,59,Complete,1st,43,5.1,292.2084755,-12.7,3.4,9.3,,,64,60.6,8,20.7
242,"Aguero, Sergio","Silva, David",137,12,0,Complete,1st,43,2.8,160.4281826,4.9,-7.8,8.8,,,56.1,63.9,12.9,8
244,"Silva, David","Barry, Gareth",138,12,0,Complete,1st,43,1.5,85.94366927,10.8,0.7,7.4,,,56.8,56.1,23.7,12.9
246,"Barry, Gareth","Silva, David",139,12,1,Complete,1st,43,3.6,206.2648062,-3.9,-4.6,5.5,,,52.3,56.9,19.8,23.7
248,"Silva, David","Toure, Gnegneri Yaya",140,12,2,Complete,1st,43,1.6,91.67324722,23.3,-0.4,15.8,,,51.9,52.3,43.1,19.8
250,"Toure, Gnegneri Yaya","Richards, Micah",141,12,5,Complete,1st,43,4.5,257.8310078,-21.7,-2.9,15.1,,,45.3,48.2,16.8,38.5
252,"Richards, Micah","Toure, Gnegneri Yaya",142,12,8,Complete,1st,43,0.8,45.83662361,4.3,2.5,3.9,,,49.5,47,17.6,13.3
254,"Toure, Gnegneri Yaya","Aguero, Sergio",143,12,9,Complete,1st,43,5.5,315.1267873,-16.6,10.4,15.7,,,59.9,49.5,1,17.6
256,"Aguero, Sergio","Milner, James",144,12,11,Complete,1st,43,0.9,51.56620156,13.4,6.6,11.4,,,66.7,60.1,14.8,1.4
258,"Milner, James",Incomplete pass,145,12,12,Incomplete,1st,43,5.8,332.3155212,-2,2.8,3.2,,,67.1,64.3,10.6,12.6
260,"Milner, James","Richards, Micah",146,12,15,Complete,1st,43,3.1,177.6169165,0.7,-7.7,8.1,,,55.5,63.2,6.3,5.6
262,"Richards, Micah","Toure, Gnegneri Yaya",147,12,17,Complete,1st,43,1,57.29577951,17.2,7.5,14.1,,,62.4,54.9,24.5,7.3
264,"Toure, Gnegneri Yaya","Silva, David",148,12,18,Complete,1st,43,1.9,108.8619811,19.4,-4.1,13.9,,,56.8,60.9,46,26.6
266,"Silva, David","Barry, Gareth",149,12,19,Complete,1st,43,0.8,45.83662361,22,14.5,21.3,,,71.9,57.4,70.1,48.1
268,"Barry, Gareth",Incomplete pass,150,12,22,Incomplete,1st,43,0,0,2,25.8,28.5,,,100,74.2,75,73
270,"Jaaskelainen, Jussi","Davies, Kevin",112,12,51,Complete,1st,30,6.2,355.233833,-4.2,56.1,59,,,61.8,5.7,35.5,39.7
272,"Davies, Kevin",Incomplete pass,113,12,55,Incomplete,1st,30,6.2,355.233833,-1.7,13.8,14.5,,,75.6,61.8,33.8,35.5
274,"Barry, Gareth",Incomplete pass,153,12,57,Incomplete,1st,43,0.7,40.10704566,14.2,10.9,15,,,45.2,34.3,86.9,72.7
276,"Steinsson, Gretar","Eagles, Chris",114,12,58,Complete,1st,30,6.1,349.504255,-3.4,11.6,12.4,,,69.6,58,9.2,12.6
278,"Eagles, Chris","Muamba, Fabrice",115,12,59,Complete,1st,30,2.3,131.7802929,22,-11.7,19.4,,,57.9,69.6,31.2,9.2
280,"Muamba, Fabrice","Knight, Zat",116,13,2,Complete,1st,30,2.8,160.4281826,6.7,-11.9,13.3,,,44,55.9,44.7,38
282,"Knight, Zat","Robinson, Paul",117,13,5,Complete,1st,30,1.2,68.75493542,47,10.4,33.8,,,54.4,44,94.5,47.5
284,"Robinson, Paul","Petrov, Martin",118,13,8,Complete,1st,30,5.5,315.1267873,-10.2,7.3,10.3,,,61.7,54.4,84.3,94.5
286,"Petrov, Martin","Knight, Zat",119,13,10,Complete,1st,30,3.3,189.0760724,-4.6,-22.1,23.4,,,38.3,60.4,77.6,82.2
288,"Knight, Zat","Jaaskelainen, Jussi",120,13,14,Complete,1st,30,3.7,211.9943842,-23.1,-21.7,27.7,,,14.3,36,52,75.1
290,"Jaaskelainen, Jussi","Davies, Kevin",121,13,19,Complete,1st,30,6,343.7746771,-28,56.2,62,,,69.6,13.4,22,50
292,"Davies, Kevin",Incomplete pass,122,13,23,Incomplete,1st,30,6.2,355.233833,-0.4,6.1,6.4,,,73.8,67.7,24.6,25
294,"Lescott, Joleon","Milner, James",155,13,25,Complete,1st,43,0.7,40.10704566,16.2,12.6,17.2,,,36.6,24,94.2,78
296,"Milner, James","Kolarov, Aleksandar",156,13,26,Complete,1st,43,3.1,177.6169165,0.5,-11.6,12.2,,,25,36.6,94.7,94.2
298,"Kolarov, Aleksandar",Incomplete pass,157,13,27,Incomplete,1st,43,5.9,338.0450991,-19,32.2,36.2,,,57.6,25.4,75.5,94.5
300,"Cahill, Gary","Klasnic, Ivan",123,13,29,Complete,1st,30,0.2,11.4591559,7,27.4,29.2,,,69.4,42,35.2,28.2
302,"Klasnic, Ivan","Eagles, Chris",124,13,32,Complete,1st,30,4.3,246.3718519,-17.1,-5.2,12.8,,,64.1,69.3,14.8,31.9
304,"Eagles, Chris",Incomplete pass,125,13,34,Incomplete,1st,30,0.1,5.729577951,2.2,21.3,22.4,,,89.8,68.5,16.4,14.2
306,"Lescott, Joleon","Kolarov, Aleksandar",159,13,35,Complete,1st,43,1.2,68.75493542,12.9,3.5,9.5,,,12.8,9.3,95.1,82.2
308,"Kolarov, Aleksandar",Incomplete pass,160,13,37,Incomplete,1st,43,0,0,0,3.4,3.6,,,13.9,10.5,98.4,98.4
310,"Kolarov, Aleksandar",Incomplete pass,162,13,53,Incomplete,1st,43,6,343.7746771,-6.6,18.4,20,,,32,13.6,93.4,100
312,"Steinsson, Gretar",Incomplete pass,128,13,56,Incomplete,1st,30,4,229.1831181,-8.3,-4.5,7.4,,,58.4,62.9,2.2,10.5
314,"Milner, James","Aguero, Sergio",163,13,57,Complete,1st,43,5.4,309.3972094,-19.3,9.9,16.7,,,44.2,34.3,78.5,97.8
316,"Aguero, Sergio","Silva, David",164,13,59,Complete,1st,43,4.4,252.1014299,-11.8,-2.5,8.4,,,43.9,46.4,60,71.8
318,"Silva, David","Barry, Gareth",165,14,1,Complete,1st,43,2.2,126.0507149,10.1,-4.3,8.2,,,39.6,43.9,70.1,60
320,"Barry, Gareth","Richards, Micah",166,14,2,Complete,1st,43,4.6,263.5605858,-46.4,-2.2,31.6,,,37.9,40.1,23.7,70.1
322,"Richards, Micah","Toure, Gnegneri Yaya",167,14,4,Complete,1st,43,1.6,91.67324722,23.4,-0.5,15.9,,,37.8,38.3,44.4,21
324,"Toure, Gnegneri Yaya","Silva, David",168,14,8,Complete,1st,43,5.4,309.3972094,-11.2,6.5,10.2,,,45.7,39.2,30.7,41.9
326,"Silva, David",N,169,14,9,Complete,1st,43,4.2,240.642274,-18.7,-6.3,14.3,,,39.4,45.7,12,30.7
328,"Kompany, Vincent","Richards, Micah",171,14,12,Complete,1st,43,6,343.7746771,-8.1,15.2,16.9,,,56.2,41,1.7,9.8
330,"Richards, Micah","Toure, Gnegneri Yaya",172,14,14,Complete,1st,43,2.6,148.9690267,10.9,-10.7,13.5,,,45.3,56,14.8,3.9
332,"Toure, Gnegneri Yaya","Kompany, Vincent",173,14,17,Complete,1st,43,4.1,234.912696,-12.8,-5.6,10.5,,,40.7,46.3,5.9,18.7
334,"Kompany, Vincent","Aguero, Sergio",174,14,21,Complete,1st,43,0.3,17.18873385,9.4,23.2,25.2,,,69.5,46.3,16.4,7
336,"Aguero, Sergio","Kompany, Vincent",175,14,25,Complete,1st,43,3.3,189.0760724,-4.9,-15.3,16.4,,,45.1,60.4,2,6.9
338,"Kompany, Vincent","Toure, Gnegneri Yaya",176,14,27,Complete,1st,43,1.7,97.40282517,20.9,-2.1,14.4,,,43,45.1,22.9,2
340,"Toure, Gnegneri Yaya","Milner, James",177,14,31,Complete,1st,43,0.4,22.91831181,12.3,17.7,20.4,,,64,46.3,47.4,35.1
342,"Milner, James","Silva, David",178,14,32,Complete,1st,43,6,343.7746771,-2.8,6.2,6.8,,,70.2,64,44.6,47.4
344,"Silva, David","Kolarov, Aleksandar",179,14,35,Complete,1st,43,0.4,22.91831181,12.9,22.1,24.8,,,94.9,72.8,72.7,59.8
345,"Milner, James",Save,181,14,39,Complete,1st,43,0,0,0,0,0,50.3,1.4,,96.1,,52.5
346,"Kolarov, Aleksandar",Incomplete pass,180,14,37,Key pass,1st,43,4.8,275.0197417,-20.2,1.1,13.8,,,96.1,95,52.5,72.7
348,"Cahill, Gary",N,129,14,43,Complete,1st,30,0.7,40.10704566,41.5,29.1,41.6,,,38.6,9.5,90.9,49.4
350,"Petrov, Martin",Incomplete pass,131,14,48,Incomplete,1st,30,5.1,292.2084755,-10.6,2.8,7.8,,,70.8,68,67.1,77.7
